import time: self [us] | cumulative | imported package
import time:       287 |        287 | allauth.socialaccount.signals
import time:       256 |        256 | allauth.socialaccount.adapter
import time:       205 |        205 | allauth.socialaccount.internal
import time:       499 |        499 | allauth.socialaccount.internal.statekit
import time:       210 |        210 | dj_rest_auth.app_settings
import time:       341 |        341 |   django.contrib.auth.tokens
import time:      1365 |       1705 | django.contrib.auth.forms
import time:       512 |        512 | django.contrib.contenttypes.fields
import time:       255 |        255 | django.contrib.contenttypes.forms
import time:       334 |        334 | django.contrib.admin.views.main
import time:       328 |        328 | rest_framework.checks
import time:       159 |        159 | allauth.account.checks
import time:      1357 |       1357 |     urllib3.exceptions
import time:       336 |        336 |             urllib3.util.timeout
import time:       572 |        907 |           urllib3.util.connection
import time:       222 |        222 |             urllib3.util.util
import time:        46 |         46 |             brotlicffi
import time:        44 |         44 |             brotli
import time:      1836 |       1836 |               zstandard.backend_c
import time:       479 |       2315 |             zstandard
import time:       429 |       3055 |           urllib3.util.request
import time:       224 |        224 |           urllib3.util.response
import time:       467 |        467 |           urllib3.util.retry
import time:      6004 |       6004 |             urllib3.util.url
import time:       344 |        344 |             urllib3.util.ssltransport
import time:       407 |       6754 |           urllib3.util.ssl_
import time:       226 |        226 |           urllib3.util.wait
import time:       589 |      12219 |         urllib3.util
import time:        14 |      12233 |       urllib3.util.connection
import time:       452 |      12685 |     urllib3._base_connection
import time:       598 |        598 |     urllib3._collections
import time:       369 |        369 |     urllib3._version
import time:       319 |        319 |           urllib3.fields
import time:       271 |        589 |         urllib3.filepost
import time:        56 |         56 |           brotlicffi
import time:        46 |         46 |           brotli
import time:       279 |        279 |             urllib3.http2
import time:       438 |        438 |             urllib3.http2.probe
import time:       254 |        254 |             urllib3.util.ssl_match_hostname
import time:       635 |       1605 |           urllib3.connection
import time:       594 |       2299 |         urllib3.response
import time:       343 |       3230 |       urllib3._request_methods
import time:       133 |        133 |       urllib3.util.proxy
import time:       530 |       3892 |     urllib3.connectionpool
import time:       785 |        785 |     urllib3.poolmanager
/Users/seon/Desktop/ai_of_ai_private/myenv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
import time:      1534 |      21217 |   urllib3
import time:      1522 |       1522 |           charset_normalizer.constant
import time:      1494 |       1494 |             charset_normalizer.md__mypyc
import time:       696 |        696 |               _multibytecodec
import time:       482 |       1177 |             charset_normalizer.utils
import time:      1480 |       4150 |           charset_normalizer.md
import time:       391 |        391 |           charset_normalizer.models
import time:       418 |       6480 |         charset_normalizer.cd
import time:       602 |       7082 |       charset_normalizer.api
import time:       605 |        605 |       charset_normalizer.legacy
import time:       151 |        151 |       charset_normalizer.version
import time:        61 |         61 |       simplejson
import time:      2100 |       2100 |       http.cookiejar
import time:       892 |      10890 |     requests.compat
import time:       736 |      11625 |   requests.exceptions
import time:        57 |         57 |   chardet
import time:       471 |        471 |         idna.idnadata
import time:       491 |        491 |         idna.intranges
import time:      1147 |       2109 |       idna.core
import time:       136 |        136 |       idna.package_data
import time:       547 |       2790 |     idna
import time:       864 |       3653 |   requests.packages
import time:       228 |        228 |             importlib._common
import time:       274 |        501 |           importlib.resources
import time:       307 |        808 |         certifi.core
import time:       428 |       1236 |       certifi
import time:       227 |       1462 |     requests.certs
import time:       227 |        227 |     requests.__version__
import time:       332 |        332 |     requests._internal_utils
import time:       767 |        767 |     requests.cookies
import time:       377 |        377 |     requests.structures
import time:       823 |       3987 |   requests.utils
import time:       273 |        273 |         requests.auth
import time:       286 |        286 |             stringprep
import time:       243 |        529 |           encodings.idna
import time:       191 |        191 |           requests.hooks
import time:       437 |        437 |           requests.status_codes
import time:       492 |       1647 |         requests.models
import time:       365 |        365 |           urllib3.contrib
import time:        57 |         57 |           socks
import time:       672 |       1093 |         urllib3.contrib.socks
import time:      5586 |       8598 |       requests.adapters
import time:       395 |       8992 |     requests.sessions
import time:       238 |       9230 |   requests.api
import time:       738 |      50504 | requests
import time:       370 |        370 |   allauth.socialaccount.providers.base.constants
import time:       309 |        309 |   allauth.socialaccount.providers.base.provider
import time:       351 |       1029 | allauth.socialaccount.providers.base
import time:       257 |        257 |     django.contrib.auth.decorators
import time:       249 |        505 |   allauth.account.internal.decorators
import time:       486 |        486 |       allauth.socialaccount.internal.flows.connect
import time:       123 |        123 |       allauth.socialaccount.internal.flows.email_authentication
import time:       127 |        127 |         allauth.socialaccount.internal.flows.signup
import time:       137 |        264 |       allauth.socialaccount.internal.flows.login
import time:       245 |       1117 |     allauth.socialaccount.internal.flows
import time:       252 |       1368 |   allauth.socialaccount.helpers
import time:       326 |        326 |           jwt.exceptions
import time:       325 |        325 |           jwt.types
import time:       597 |        597 |                       cryptography.utils
import time:       372 |        372 |                       cryptography.__about__
import time:       490 |       1458 |                     cryptography
import time:       311 |       1768 |                   cryptography.hazmat
import time:       434 |       2202 |                 cryptography.hazmat.primitives
import time:       336 |       2538 |               cryptography.hazmat.primitives.asymmetric
import time:       337 |        337 |                   cryptography.hazmat.bindings
import time:      1846 |       1846 |                   _cffi_backend
import time:     20805 |      22987 |                 cryptography.hazmat.bindings._rust
import time:       219 |      23206 |               cryptography.exceptions
import time:       628 |        628 |                 cryptography.hazmat.primitives.hashes
import time:      1146 |       1773 |               cryptography.hazmat._oid
import time:       698 |        698 |               cryptography.hazmat.primitives._serialization
import time:       275 |        275 |               cryptography.hazmat.primitives.asymmetric.utils
import time:       736 |      29223 |             cryptography.hazmat.primitives.asymmetric.ec
import time:       738 |      29960 |           jwt.utils
import time:       321 |        321 |           cryptography.hazmat.backends
import time:       150 |        150 |             cryptography.hazmat.primitives._asymmetric
import time:       314 |        314 |             cryptography.hazmat.primitives.asymmetric.rsa
import time:       734 |       1196 |           cryptography.hazmat.primitives.asymmetric.padding
import time:       200 |        200 |           cryptography.hazmat.primitives.asymmetric.ed448
import time:       170 |        170 |           cryptography.hazmat.primitives.asymmetric.ed25519
import time:       189 |        189 |             cryptography.hazmat.primitives.serialization.base
import time:       541 |        541 |               dataclasses
import time:       310 |        310 |               cryptography.hazmat.primitives.asymmetric.dsa
import time:       169 |        169 |                 cryptography.hazmat.primitives._cipheralgorithm
import time:       122 |        122 |                           cryptography.hazmat.decrepit
import time:       174 |        296 |                         cryptography.hazmat.decrepit.ciphers
import time:       225 |        520 |                       cryptography.hazmat.decrepit.ciphers.algorithms
import time:       373 |        893 |                     cryptography.hazmat.primitives.ciphers.algorithms
import time:       366 |       1258 |                   cryptography.hazmat.primitives.ciphers.modes
import time:       574 |       1832 |                 cryptography.hazmat.primitives.ciphers.base
import time:       266 |       2266 |               cryptography.hazmat.primitives.ciphers
import time:      1915 |       1915 |                 bcrypt._bcrypt
import time:       577 |       2492 |               bcrypt
import time:      1970 |       7578 |             cryptography.hazmat.primitives.serialization.ssh
import time:       326 |       8092 |           cryptography.hazmat.primitives.serialization
import time:       716 |      41304 |         jwt.algorithms
import time:       341 |      41644 |       jwt.api_jwk
import time:       231 |        231 |         jwt.warnings
import time:       380 |        611 |       jwt.api_jws
import time:       253 |        253 |       jwt.api_jwt
import time:       179 |        179 |         jwt.jwk_set_cache
import time:       309 |        487 |       jwt.jwks_client
import time:       539 |      43532 |     jwt
import time:       396 |        396 |       cryptography.x509.certificate_transparency
import time:       225 |        225 |             cryptography.x509.oid
import time:      9549 |       9774 |           cryptography.x509.name
import time:       492 |      10266 |         cryptography.x509.general_name
import time:       439 |      10705 |       cryptography.x509.verification
import time:       609 |        609 |         cryptography.hazmat.primitives.asymmetric.x448
import time:       299 |        299 |         cryptography.hazmat.primitives.asymmetric.x25519
import time:       461 |        461 |           cryptography.hazmat.primitives.asymmetric.dh
import time:       420 |        881 |         cryptography.hazmat.primitives.asymmetric.types
import time:       272 |        272 |           cryptography.hazmat.primitives.constant_time
import time:      1295 |       1566 |         cryptography.x509.extensions
import time:      1833 |       5186 |       cryptography.x509.base
import time:       300 |      16585 |     cryptography.x509
import time:       352 |        352 |       allauth.socialaccount.providers.oauth2
import time:       492 |        844 |     allauth.socialaccount.providers.oauth2.client
import time:       205 |      61164 |   allauth.socialaccount.internal.jwtkit
import time:       134 |        134 |       allauth.socialaccount.providers.base.utils
import time:       280 |        413 |     allauth.socialaccount.providers.base.views
import time:       332 |        744 |   allauth.socialaccount.providers.oauth2.views
import time:       395 |      64174 | allauth.socialaccount.providers.google.views
import time:       234 |        234 |   allauth.socialaccount.providers.oauth2.utils
import time:       849 |       1082 | allauth.socialaccount.providers.oauth2.provider
import time:       542 |        542 | allauth.socialaccount.providers.kakao.views
import time:      1040 |       1040 | chat.signals
import time:       328 |        328 |   django.contrib.staticfiles.views
import time:       412 |        739 | django.contrib.staticfiles.handlers
import time:       236 |        236 |   django.core.management.commands
import time:       706 |        942 | django.core.management.commands.runserver
import time:       255 |        255 | django.contrib.contenttypes.views
import time:       296 |        296 |       rest_framework.status
import time:       206 |        206 |         rest_framework.utils
import time:       236 |        236 |         rest_framework.utils.json
import time:       685 |       1126 |       rest_framework.utils.serializer_helpers
import time:       430 |       1850 |     rest_framework.exceptions
import time:       415 |        415 |     rest_framework.request
import time:       216 |        216 |           django.contrib.postgres
import time:       543 |        543 |                 django.contrib.postgres.search
import time:       459 |       1002 |               django.contrib.postgres.lookups
import time:       676 |        676 |                   django.contrib.postgres.validators
import time:       244 |        244 |                   django.contrib.postgres.utils
import time:       492 |       1411 |                 django.contrib.postgres.forms.array
import time:       457 |        457 |                 django.contrib.postgres.forms.hstore
import time:       249 |        249 |                     django.db.backends.postgresql
import time:        66 |         66 |                     psycopg
import time:        40 |         40 |                     psycopg2
import time:       425 |        779 |                   django.db.backends.postgresql.psycopg_any
import time:       266 |       1044 |                 django.contrib.postgres.forms.ranges
import time:       220 |       3131 |               django.contrib.postgres.forms
import time:       497 |       4629 |             django.contrib.postgres.fields.array
import time:       442 |       5070 |           django.contrib.postgres.fields
import time:        45 |         45 |           coreapi
import time:       620 |        620 |               uritemplate.variable
import time:       238 |        238 |               uritemplate.orderedset
import time:       324 |        324 |               uritemplate.template
import time:       392 |       1573 |             uritemplate.api
import time:       467 |       2040 |           uritemplate
import time:        49 |         49 |           coreschema
import time:       539 |        539 |             yaml.error
import time:       618 |        618 |             yaml.tokens
import time:       310 |        310 |             yaml.events
import time:       216 |        216 |             yaml.nodes
import time:      5823 |       5823 |               yaml.reader
import time:       356 |        356 |               yaml.scanner
import time:       327 |        327 |               yaml.parser
import time:       214 |        214 |               yaml.composer
import time:       813 |        813 |               yaml.constructor
import time:      1445 |       1445 |               yaml.resolver
import time:       327 |       9302 |             yaml.loader
import time:       354 |        354 |               yaml.emitter
import time:       222 |        222 |               yaml.serializer
import time:       311 |        311 |               yaml.representer
import time:       276 |       1162 |             yaml.dumper
import time:        37 |         37 |                 gc
import time:      2441 |       2477 |               yaml._yaml
import time:       299 |       2776 |             yaml.cyaml
import time:       781 |      15701 |           yaml
import time:        51 |         51 |           inflection
import time:        40 |         40 |           markdown
import time:       465 |        465 |           pygments
import time:       493 |        493 |             pygments.formatters._mapping
import time:       325 |        325 |             pygments.plugin
import time:       880 |        880 |             pygments.util
import time:       772 |       2470 |           pygments.formatters
import time:       550 |        550 |                 pygments.styles._mapping
import time:       490 |       1040 |               pygments.styles
import time:       252 |       1291 |             pygments.formatter
import time:       350 |        350 |             pygments.token
import time:        49 |         49 |             ctags
import time:       377 |       2066 |           pygments.formatters.html
import time:      2250 |       2250 |             pygments.lexers._mapping
import time:       453 |        453 |             pygments.modeline
import time:       472 |       3174 |           pygments.lexers
import time:       242 |        242 |               pygments.filter
import time:       455 |        455 |               pygments.filters
import time:       364 |        364 |               pygments.regexopt
import time:       500 |       1560 |             pygments.lexer
import time:       706 |       2265 |           pygments.lexers.special
import time:       405 |      34050 |         rest_framework.compat
import time:       450 |        450 |             pytz.exceptions
import time:       273 |        273 |             pytz.lazy
import time:       362 |        362 |             pytz.tzinfo
import time:       151 |        151 |             pytz.tzfile
import time:       767 |       2000 |           pytz
import time:       262 |        262 |           rest_framework.utils.html
import time:       172 |        172 |           rest_framework.utils.humanize_datetime
import time:       641 |        641 |           rest_framework.utils.representation
import time:       173 |        173 |           rest_framework.utils.formatting
import time:       107 |        107 |           rest_framework.utils.timezone
import time:       291 |        291 |           rest_framework.validators
import time:      1026 |       4668 |         rest_framework.fields
import time:       289 |        289 |         rest_framework.utils.model_meta
import time:       390 |        390 |         rest_framework.utils.field_mapping
import time:       109 |        109 |             rest_framework.utils.urls
import time:       215 |        324 |           rest_framework.reverse
import time:       391 |        714 |         rest_framework.relations
import time:       633 |      40740 |       rest_framework.serializers
import time:       209 |      40949 |     rest_framework.response
import time:       191 |        191 |             django.contrib.admindocs
import time:       193 |        193 |             django.contrib.admin.views.decorators
import time:        68 |         68 |                 docutils
import time:        21 |         88 |               docutils.core
import time:       243 |        330 |             django.contrib.admindocs.utils
import time:       586 |       1298 |           django.contrib.admindocs.views
import time:       343 |       1640 |         rest_framework.schemas.generators
import time:       360 |        360 |         rest_framework.schemas.inspectors
import time:       209 |        209 |           rest_framework.mixins
import time:       236 |        444 |         rest_framework.schemas.utils
import time:       562 |       3005 |       rest_framework.schemas.coreapi
import time:       141 |        141 |           rest_framework.utils.encoders
import time:       217 |        217 |           rest_framework.utils.breadcrumbs
import time:       531 |        888 |         rest_framework.renderers
import time:       335 |       1223 |       rest_framework.schemas.openapi
import time:       300 |        300 |       rest_framework_simplejwt.exceptions
import time:       401 |        401 |           rest_framework_simplejwt.token_blacklist
import time:       835 |       1236 |         rest_framework_simplejwt.token_blacklist.models
import time:       647 |       1882 |       rest_framework_simplejwt.tokens
import time:      1579 |       7988 |     rest_framework.schemas
import time:       130 |        130 |     rest_framework.utils.mediatypes
import time:      1996 |      53324 |   rest_framework.views
import time:       373 |        373 |               pydantic.version
import time:       913 |       1286 |             pydantic._migration
import time:       450 |        450 |             pydantic.errors
import time:       583 |       2317 |           pydantic
import time:      5198 |       5198 |             annotated_types
import time:      6533 |       6533 |               pydantic_core._pydantic_core
import time:      5974 |       5974 |               pydantic_core.core_schema
import time:       791 |      13297 |             pydantic_core
import time:       261 |        261 |               pydantic._internal
import time:       798 |        798 |               fractions
import time:       598 |       1656 |             pydantic._internal._validators
import time:       474 |        474 |                     pydantic._internal._namespace_utils
import time:       589 |       1062 |                   pydantic._internal._typing_extra
import time:       327 |       1388 |                 pydantic._internal._repr
import time:       379 |        379 |                 pydantic._internal._core_metadata
import time:       698 |       2464 |               pydantic._internal._core_utils
import time:       225 |        225 |                     pydantic._internal._internal_dataclass
import time:       913 |       1138 |                   pydantic.aliases
import time:       791 |        791 |                   pydantic.config
import time:       401 |        401 |                   pydantic.warnings
import time:       317 |       2645 |                 pydantic._internal._config
import time:       947 |        947 |                   textwrap
import time:       309 |       1255 |                 pydantic._internal._docs_extraction
import time:       301 |        301 |                 pydantic._internal._import_utils
import time:       728 |        728 |                 pydantic._internal._utils
import time:       453 |       5381 |               pydantic._internal._fields
import time:       415 |        415 |               pydantic.annotated_handlers
import time:      2365 |       2365 |                 pydantic._internal._decorators
import time:       529 |        529 |                     pydantic.plugin
import time:       406 |        934 |                   pydantic.plugin._schema_validator
import time:       354 |       1288 |                 pydantic._internal._mock_val_ser
import time:       271 |        271 |                 pydantic._internal._schema_generation_shared
import time:      1380 |       5303 |               pydantic.json_schema
import time:      5691 |      19251 |             pydantic.types
import time:       864 |        864 |               pydantic._internal._forward_ref
import time:       452 |       1315 |             pydantic._internal._generics
import time:      1278 |      41993 |           pydantic.fields
import time:       422 |        422 |               httpx.__version__
import time:       687 |        687 |                     httpx._exceptions
import time:       850 |        850 |                           httpx._types
import time:       426 |        426 |                           httpx._utils
import time:       747 |       2022 |                         httpx._multipart
import time:      1271 |       3292 |                       httpx._content
import time:        59 |         59 |                         brotli
import time:        43 |         43 |                         brotlicffi
import time:       372 |        472 |                       httpx._decoders
import time:       724 |        724 |                       httpx._status_codes
import time:      1059 |       1059 |                         httpx._urlparse
import time:       391 |       1449 |                       httpx._urls
import time:       622 |       6557 |                     httpx._models
import time:       488 |       7732 |                   httpx._auth
import time:       255 |        255 |                   httpx._config
import time:       240 |        240 |                         httpx._transports.base
import time:       363 |        602 |                       httpx._transports.asgi
import time:       376 |        376 |                       httpx._transports.default
import time:       289 |        289 |                       httpx._transports.mock
import time:       264 |        264 |                       httpx._transports.wsgi
import time:       373 |       1903 |                     httpx._transports
import time:        13 |       1916 |                   httpx._transports.base
import time:       597 |      10499 |                 httpx._client
import time:       215 |      10714 |               httpx._api
import time:      1059 |       1059 |                       click._compat
import time:       253 |        253 |                         click.globals
import time:       455 |        455 |                         click.utils
import time:       431 |       1138 |                       click.exceptions
import time:       685 |       2880 |                     click.types
import time:       448 |        448 |                       click.parser
import time:       321 |        768 |                     click.formatting
import time:       574 |        574 |                     click.termui
import time:      1869 |       6090 |                   click.core
import time:       635 |        635 |                   click.decorators
import time:       568 |       7293 |                 click
import time:       884 |        884 |                     rich._extension
import time:      1004 |       1887 |                   rich
import time:       300 |        300 |                   rich._null_file
import time:       390 |        390 |                   rich.errors
import time:       205 |        205 |                           colorsys
import time:       485 |        485 |                               rich.color_triplet
import time:       726 |       1210 |                             rich.palette
import time:       217 |       1427 |                           rich._palettes
import time:       544 |        544 |                           rich.repr
import time:       244 |        244 |                           rich.terminal_theme
import time:       777 |       3195 |                         rich.color
import time:       644 |       3839 |                       rich.style
import time:       495 |       4334 |                     rich.default_styles
import time:       251 |        251 |                     rich.theme
import time:       300 |       4884 |                   rich.themes
import time:      1834 |       1834 |                     rich._emoji_codes
import time:       332 |       2165 |                   rich._emoji_replace
import time:       314 |        314 |                   rich._export_format
import time:       180 |        180 |                   rich._fileno
import time:       212 |        212 |                       rich._loop
import time:       172 |        172 |                       rich._pick
import time:       327 |        327 |                           rich._cell_widths
import time:       494 |        820 |                         rich.cells
import time:       247 |       1066 |                       rich._wrap
import time:       858 |        858 |                             rich.segment
import time:       912 |       1769 |                           rich.jupyter
import time:       190 |        190 |                             rich.protocol
import time:       317 |        507 |                           rich.measure
import time:       416 |       2691 |                         rich.constrain
import time:       351 |       3042 |                       rich.align
import time:       342 |        342 |                       rich.containers
import time:       486 |        486 |                       rich.control
import time:       850 |        850 |                       rich.emoji
import time:      1035 |       7203 |                     rich.text
import time:       243 |       7445 |                   rich._log_render
import time:       602 |        602 |                   rich.highlighter
import time:       768 |        768 |                   rich.markup
import time:       263 |        263 |                   rich.pager
import time:       327 |        327 |                         attr._compat
import time:       119 |        119 |                           attr._config
import time:       240 |        240 |                             attr.exceptions
import time:       171 |        411 |                           attr.setters
import time:      2109 |       2638 |                         attr._make
import time:      1872 |       4836 |                       attr.converters
import time:       164 |        164 |                       attr.filters
import time:      3508 |       3508 |                       attr.validators
import time:       354 |        354 |                       attr._cmp
import time:       444 |        444 |                       attr._funcs
import time:       263 |        263 |                       attr._next_gen
import time:       484 |        484 |                       attr._version_info
import time:      1142 |      11192 |                     attr
import time:       323 |        323 |                     rich.abc
import time:      1522 |      13035 |                   rich.pretty
import time:       239 |        239 |                   rich.region
import time:       383 |        383 |                       rich.box
import time:       488 |        488 |                       rich.padding
import time:       320 |       1190 |                     rich.panel
import time:       276 |        276 |                       rich._ratio
import time:      1362 |       1638 |                     rich.table
import time:       271 |       3099 |                   rich.scope
import time:       226 |        226 |                   rich.screen
import time:       206 |        206 |                   rich.styled
import time:      2150 |      38145 |                 rich.console
import time:       771 |        771 |                   mmap
import time:       256 |        256 |                   rich.filesize
import time:       468 |        468 |                       rich.ansi
import time:       250 |        718 |                     rich.file_proxy
import time:       266 |        266 |                     rich.live_render
import time:       339 |       1321 |                   rich.live
import time:       528 |        528 |                   rich.progress_bar
import time:       900 |        900 |                     rich._spinners
import time:       232 |       1132 |                   rich.spinner
import time:      1349 |       5355 |                 rich.progress
import time:       372 |        372 |                   pygments.style
import time:       636 |       1008 |                 rich.syntax
import time:       912 |      52710 |               httpx._main
import time:       716 |      64561 |             httpx
import time:      2175 |       2175 |                 pydantic.functional_validators
import time:       647 |        647 |                 pydantic._internal._discriminated_union
import time:       386 |        386 |                 pydantic._internal._known_annotated_metadata
import time:       989 |       4195 |               pydantic._internal._generate_schema
import time:       322 |        322 |               pydantic._internal._signature
import time:       435 |       4951 |             pydantic._internal._model_construction
import time:      1698 |      71208 |           openai._types
import time:       302 |        302 |                   sniffio._version
import time:       186 |        186 |                   sniffio._impl
import time:       377 |        864 |                 sniffio
import time:       454 |        454 |                             pydantic.v1.typing
import time:      1181 |       1635 |                           pydantic.v1.errors
import time:        50 |         50 |                               cython
import time:       189 |        238 |                             pydantic.v1.version
import time:       740 |        977 |                           pydantic.v1.utils
import time:       580 |       3191 |                         pydantic.v1.class_validators
import time:       612 |        612 |                         pydantic.v1.config
import time:       437 |        437 |                             pydantic.v1.color
import time:      1188 |       1188 |                                 pydantic.v1.datetime_parse
import time:       677 |       1864 |                               pydantic.v1.validators
import time:       914 |       2778 |                             pydantic.v1.networks
import time:      1409 |       1409 |                             pydantic.v1.types
import time:       505 |       5127 |                           pydantic.v1.json
import time:       365 |       5491 |                         pydantic.v1.error_wrappers
import time:      1029 |       1029 |                         pydantic.v1.fields
import time:       284 |        284 |                           pydantic.v1.parse
import time:       606 |        606 |                           pydantic.v1.schema
import time:     15753 |      16642 |                         pydantic.v1.main
import time:       669 |      27633 |                       pydantic.v1.dataclasses
import time:       372 |        372 |                       pydantic.v1.annotated_types
import time:       376 |        376 |                       pydantic.v1.decorator
import time:       681 |        681 |                       pydantic.v1.env_settings
import time:       289 |        289 |                       pydantic.v1.tools
import time:       459 |      29808 |                     pydantic.v1
import time:        16 |      29823 |                   pydantic.v1.typing
import time:       294 |        294 |                   pydantic.plugin._loader
import time:     47124 |      77240 |                 openai._compat
import time:       353 |      78455 |               openai._utils._utils
import time:       362 |      78816 |             openai._utils._logs
import time:       382 |        382 |                   anyio._core
import time:       596 |        978 |                 anyio._core._eventloop
import time:       445 |        445 |                       exceptiongroup._exceptions
import time:       595 |       1040 |                     exceptiongroup._catch
import time:       315 |        315 |                     exceptiongroup._version
import time:       546 |        546 |                     exceptiongroup._formatting
import time:       217 |        217 |                     exceptiongroup._suppress
import time:       546 |       2663 |                   exceptiongroup
import time:       422 |       3085 |                 anyio._core._exceptions
import time:       737 |        737 |                       anyio.abc._eventloop
import time:       300 |        300 |                       anyio.abc._resources
import time:       320 |        320 |                         anyio._core._typedattr
import time:       717 |        717 |                           anyio.abc._tasks
import time:       676 |       1393 |                         anyio.abc._streams
import time:       528 |       2240 |                       anyio.abc._sockets
import time:       466 |        466 |                       anyio.abc._subprocesses
import time:       302 |        302 |                       anyio.abc._testing
import time:       845 |        845 |                         anyio.lowlevel
import time:       315 |        315 |                         anyio._core._tasks
import time:       248 |        248 |                         anyio._core._testing
import time:      2221 |       3628 |                       anyio._core._synchronization
import time:       790 |        790 |                       anyio.from_thread
import time:       519 |       8978 |                     anyio.abc
import time:       402 |       9380 |                   anyio.to_thread
import time:       636 |      10015 |                 anyio._core._fileio
import time:       208 |        208 |                 anyio._core._resources
import time:       139 |        139 |                 anyio._core._signals
import time:       190 |        190 |                     anyio.streams
import time:       808 |        997 |                   anyio.streams.stapled
import time:       668 |        668 |                   anyio.streams.tls
import time:       349 |       2013 |                 anyio._core._sockets
import time:      1247 |       1247 |                   anyio.streams.memory
import time:       238 |       1485 |                 anyio._core._streams
import time:       362 |        362 |                 anyio._core._subprocesses
import time:       645 |      18928 |               anyio
import time:       282 |      19210 |             openai._utils._sync
import time:       247 |        247 |             openai._utils._proxy
import time:       239 |        239 |             openai._utils._typing
import time:       267 |        267 |             openai._utils._streams
import time:       210 |        210 |               openai._files
import time:       338 |        548 |             openai._utils._transform
import time:       205 |        205 |             openai._utils._reflection
import time:       730 |     100258 |           openai._utils
import time:       200 |        200 |           openai._constants
import time:       280 |        280 |             pydantic._internal._serializers
import time:      1379 |       1658 |           pydantic._internal._std_types_schema
import time:      7903 |     225536 |         openai._models
import time:       479 |        479 |         openai.types.batch_error
import time:       556 |        556 |             openai.types.shared.metadata
import time:       225 |        225 |               openai.types.shared.reasoning_effort
import time:       430 |        655 |             openai.types.shared.reasoning
import time:       185 |        185 |               openai.types.shared.chat_model
import time:       246 |        431 |             openai.types.shared.all_models
import time:       367 |        367 |             openai.types.shared.error_object
import time:       456 |        456 |               openai.types.shared.comparison_filter
import time:       376 |        832 |             openai.types.shared.compound_filter
import time:      1321 |       1321 |             openai.types.shared.responses_model
import time:       125 |        125 |               openai.types.shared.function_parameters
import time:       421 |        545 |             openai.types.shared.function_definition
import time:       356 |        356 |             openai.types.shared.response_format_text
import time:       313 |        313 |             openai.types.shared.response_format_json_object
import time:       958 |        958 |             openai.types.shared.response_format_json_schema
import time:       547 |       6876 |           openai.types.shared
import time:        15 |       6890 |         openai.types.shared.metadata
import time:       496 |        496 |         openai.types.batch_request_counts
import time:      1435 |     234834 |       openai.types.batch
import time:       580 |        580 |       openai.types.image
import time:       423 |        423 |       openai.types.model
import time:       626 |        626 |         openai.types.file_object
import time:       833 |       1458 |       openai.types.upload
import time:      1036 |       1036 |       openai.types.embedding
import time:       731 |        731 |       openai.types.chat_model
import time:       825 |        825 |         openai.types.completion_usage
import time:       591 |        591 |         openai.types.completion_choice
import time:      1310 |       2725 |       openai.types.completion
import time:      2578 |       2578 |       openai.types.moderation
import time:       212 |        212 |       openai.types.audio_model
import time:       322 |        322 |       openai.types.image_model
import time:       346 |        346 |       openai.types.file_content
import time:       256 |        256 |       openai.types.file_deleted
import time:       124 |        124 |       openai.types.file_purpose
import time:       831 |        831 |       openai.types.vector_store
import time:       512 |        512 |       openai.types.model_deleted
import time:       488 |        488 |       openai.types.embedding_model
import time:      1505 |       1505 |       openai.types.images_response
import time:       193 |        193 |       openai.types.eval_list_params
import time:       158 |        158 |       openai.types.file_list_params
import time:       269 |        269 |       openai.types.moderation_model
import time:       208 |        208 |       openai.types.batch_list_params
import time:       424 |        424 |       openai.types.image_edit_params
import time:       244 |        244 |             openai.types.shared_params.metadata
import time:       196 |        196 |             openai.types.shared_params.reasoning
import time:       273 |        273 |             openai.types.shared_params.chat_model
import time:       194 |        194 |               openai.types.shared_params.comparison_filter
import time:       271 |        464 |             openai.types.shared_params.compound_filter
import time:      1280 |       1280 |             openai.types.shared_params.responses_model
import time:       219 |        219 |             openai.types.shared_params.reasoning_effort
import time:       124 |        124 |               openai.types.shared_params.function_parameters
import time:       271 |        395 |             openai.types.shared_params.function_definition
import time:       236 |        236 |             openai.types.shared_params.response_format_text
import time:       219 |        219 |             openai.types.shared_params.response_format_json_object
import time:       279 |        279 |             openai.types.shared_params.response_format_json_schema
import time:       440 |       4239 |           openai.types.shared_params
import time:        15 |       4254 |         openai.types.shared_params.metadata
import time:       833 |        833 |               openai.types.graders.python_grader
import time:       394 |        394 |                       openai.types.responses.computer_tool
import time:       713 |        713 |                       openai.types.responses.function_tool
import time:       754 |        754 |                       openai.types.responses.web_search_tool
import time:       633 |        633 |                       openai.types.responses.file_search_tool
import time:      2946 |       5439 |                     openai.types.responses.tool
import time:       493 |        493 |                       openai.types.responses.response_error
import time:       713 |        713 |                       openai.types.responses.response_usage
import time:       532 |        532 |                         openai.types.responses.response_input_file
import time:       477 |        477 |                         openai.types.responses.response_input_text
import time:       410 |        410 |                         openai.types.responses.response_input_image
import time:       581 |       1999 |                       openai.types.responses.response_prompt
import time:       365 |        365 |                       openai.types.responses.response_status
import time:       333 |        333 |                       openai.types.responses.tool_choice_mcp
import time:       322 |        322 |                       openai.types.responses.tool_choice_types
import time:       190 |        190 |                             openai.types.responses.response_input_content
