import time: self [us] | cumulative | imported package
import time:       400 |       1024 |             django.dispatch
import time:       325 |       1348 |           django.core.signals
import time:       137 |        137 |             django.core.cache.backends
import time:       330 |        466 |           django.core.cache.backends.base
import time:       148 |        148 |           django.utils.connection
import time:       293 |       2255 |         django.core.cache
import time:       352 |        352 |           glob
import time:       327 |        327 |             _compat_pickle
import time:       574 |        574 |             _pickle
import time:        52 |         52 |                 org
import time:        20 |         71 |               org.python
import time:        17 |         88 |             org.python.core
import time:       686 |       1672 |           pickle
import time:       418 |        418 |               _bisect
import time:       236 |        653 |             bisect
import time:       328 |        328 |             _random
import time:       401 |        401 |             _sha512
import time:       631 |       2012 |           random
import time:       746 |        746 |               zlib
import time:       763 |        763 |                 _compression
import time:       490 |        490 |                 _bz2
import time:       192 |       1443 |               bz2
import time:       494 |        494 |                 _lzma
import time:       350 |        844 |               lzma
import time:       521 |       3553 |             shutil
import time:       419 |       3971 |           tempfile
import time:       247 |        247 |               django.core.files.utils
import time:       438 |        685 |             django.core.files.base
import time:       257 |        941 |           django.core.files
import time:       625 |        625 |             fcntl
import time:       127 |        752 |           django.core.files.locks
import time:       131 |        131 |           django.core.files.move
import time:       492 |        492 |               _hashlib
import time:       423 |        423 |               _blake2
import time:       430 |        430 |               _sha3
import time:       286 |       1630 |             hashlib
import time:       261 |        261 |             hmac
import time:       213 |        213 |             secrets
import time:       813 |        813 |               locale
import time:       407 |        407 |                   numbers
import time:       932 |       1338 |                 _decimal
import time:       244 |       1582 |               decimal
import time:       581 |       2975 |             django.utils.encoding
import time:      2228 |       7305 |           django.utils.crypto
import time:       327 |      17459 |         django.core.cache.backends.filebased
import time:       195 |      19907 |       django.core.checks.caches
import time:       159 |        159 |         django.core.checks.compatibility
import time:       382 |        541 |       django.core.checks.compatibility.django_4_0
import time:       597 |        597 |           django.db.utils
import time:       283 |        880 |         django.db
import time:       150 |       1029 |       django.core.checks.database
import time:       137 |        137 |       django.core.checks.files
import time:       282 |        282 |       django.core.checks.model_checks
import time:       105 |        105 |         django.core.checks.security
import time:       474 |        579 |       django.core.checks.security.base
import time:       148 |        148 |       django.core.checks.security.csrf
import time:       138 |        138 |       django.core.checks.security.sessions
import time:       322 |        322 |                   django.template.context
import time:       756 |        756 |                     unicodedata
import time:       557 |        557 |                       calendar
import time:       239 |        239 |                         email
import time:       424 |        424 |                         email._parseaddr
import time:       293 |        293 |                           email.base64mime
import time:       295 |        295 |                           email.quoprimime
import time:       381 |        381 |                           email.errors
import time:       199 |        199 |                             quopri
